Country,Key Insight,Reasoning (Insight),Pressing Need/Action,Reasoning (Action)
Afghanistan,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Bangladesh,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Burkina Faso,High Out-of-School Rate: 48.53%,Calculated OOS rate exceeds 30% threshold based on primary/secondary population data.,Targeted Scholarships & Infrastructure,High OOS rates often correlate with economic exclusion; financial support can bridge the access gap.
Burundi,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Cambodia,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Cameroon,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
CAR,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Chad,Moderate Risk: 25.45% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Colombia,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
DR Congo,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Ethiopia,Moderate Risk: 15.25% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Ghana,Moderate Risk: 17.03% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Haiti,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Indonesia,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Iraq,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Jordan,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Kenya,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Laos,Moderate Risk: 28.05% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Lebanon,Moderate Risk: 24.76% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Libya,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Mali,Moderate Risk: 21.37% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Mozambique,Moderate Risk: 22.49% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Myanmar,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Niger,High Out-of-School Rate: 50.22%,Calculated OOS rate exceeds 30% threshold based on primary/secondary population data.,Targeted Scholarships & Infrastructure,High OOS rates often correlate with economic exclusion; financial support can bridge the access gap.
Nigeria,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Palestine,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Philippines,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Somalia,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
South Sudan,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Sudan,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Syria,Moderate Risk: 23.57% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Thailand,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Uganda,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Ukraine,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Tanzania,Moderate Risk: 17.16% OOS,OOS rate is elevated.,Attendance Support & Hybrid Monitoring,Early intervention at this stage can prevent further dropouts.
Venezuela,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Vietnam,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
Yemen,Stable,Data shows consistent enrollment trends.,Monitor,Standard monitoring recommended.
